family;name;class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
;Fly Agaric;p;[10.0, 20.0];;[g, h];[e];[f];[e];;[w];[15.0, 20.0];[15.0, 20.0];;[y];;[u];[w];[t];[f];;;[u, w]
;Panther Cap;p;[5.0, 10.0];;[g];[n];[f];[e];;[w];[6.0, 10.0];[10.0, 20.0];;[y];[w];;[w];[t];[f];;[l, d];[u, a]
;False Panther Cap;p;[10.0, 15.0];[f];;[n];[f];[e];;[w];[10.0, 12.0];[10.0, 20.0];;[g];[w];;;[t];[f];;[l, d];[u, a]
;The Blusher;e;[5.0, 15.0];[x, f];;[n];[t];;;[p, e, w];[7.0, 15.0];[10.0, 25.0];[b];[g];[w];;[w];[t];[f];;[l, d];[u, a]
;Death Cap;p;[5.0, 12.0];[f];[h];[r];[f];;[c];;[10.0, 12.0];[10.0, 20.0];;;[w];;[w, y];[t];[f];;[l, d];[u, a]
;False Death Cap;e;[4.0, 9.0];;[g];;[f];[e];;[w];[5.0, 7.0];[10.0, 15.0];[b];[g];;;[y];[t];[f];;[l, d];[u, a]
;Destroying Angel;p;[5.0, 10.0];[b];[s, t, y];;[f];[e];[c];;[10.0, 15.0];[10.0, 15.0];;[y];[w];;[w];[t];[f];;[l];[u, a]
;Tawny Grisette;e;[4.0, 8.0];;[g, h, s];[n, o];[f];[e];;[w];[10.0, 15.0];[10.0, 15.0];;[s];[w, w];;[w];[t];[f];;[l, d];[u, a]
;Parasol Mushroom;e;[10.0, 25.0];[p, f];[y];;[f];;;[w];[15.0, 35.0];[15.0, 25.0];;;;;;[t];[f];;[m, d];[u, a]
;Shaggy Parasol;e;[12.0, 18.0];[x];[y];;[t];;;[o];[8.0, 12.0];[15.0, 20.0];;;[n, e, w];;;[f];[f];;[g];[u, a]
;Stinking Parasol;p;[2.0, 5.0];[b, f];[y];;[f];[e];[c];[n, w];[3.0, 6.0];[3.0, 4.0];;;[w];;;[t];[f];;[m, d];[u, a]
;Saffron Parasol;p;[2.0, 5.0];;[y, y];[y];[f];[a, a];;[w];[4.0, 7.0];[3.0, 4.0];;[y];;;;[t];[f];;[g, m, h, d];[u, a]
;The Deceiver;e;[1.0, 4.0];[f, s];[d];[n, p];[f];[a, d];[d];;[3.0, 10.0];[2.0, 5.0];;[i];;;;[t];[f];;[h];[u, a]
;Amethyst Deceiver;e;[1.0, 4.0];;;;[f];;[d];[b, w];[4.0, 8.0];[3.0, 6.0];;;;;;[f];[f];;[l];[u, a, w]
;Wood Blewit;e;[5.0, 15.0];;;[l];[f];[s];[c];[b];[5.0, 10.0];[15.0, 25.0];;;;;;[t];[f];;[d];[a, w]
;Field Blewit;e;[5.0, 12.0];[x, f];;;[f];[s];[c];[p];[4.0, 10.0];[15.0, 25.0];;;;;;[f];[f];;[g, d];[a, w]
;Clouded Agaric;e;[8.0, 20.0];[x, f, s];;;[f];[a, d];[c];;[5.0, 12.0];[20.0, 30.0];;;;;;[t];[f];;[l, d];[a, w]
;Club-footed Funnel Cap;p;[4.0, 8.0];[x, f];;;[f];[d];;[y];[4.0, 7.0];[10.0, 0];;;[n];;;[f];[f];;[l, d];[a]
;Common Funnel Cap;e;[4.0, 8.0];;;[n];[f];[d];[c];[w];[3.0, 7.0];[6.0, 10.0];;[s];;;;[f];[f];;[l, h, d];[u, a]
;Aniseed Funnel Cap;e;[3.0, 6.0];[x, f];[d];[r, l, w];[f];[a, d];;[r];[4.0, 8.0];[5.0, 10.0];;;;;;[f];[f];;[d];[u, a]
;Ivory Clitocybe;p;[2.0, 4.0];[x, f, s];[s];;[f];[d];[c];;[2.0, 4.0];[5.0, 10.0];;;;;;[f];[f];;[g];[u, a]
;Wood Woolly-foot;p;[3.0, 6.0];[f];[l];[n, e, y];[f];[x];;;[4.0, 8.0];[4.0, 6.0];;;[n, y];;;[f];[f];;[l, d];[u, a]
;Russet Tough Shank;p;[2.0, 5.0];[f];[d];[b];[f];[x];[c];[w, y];[3.0, 6.0];[2.0, 4.0];;[i, s];[n];;;[f];[f];;[l, h, d];[u, a]
;Clustered Tough Shank;p;[2.0, 5.0];[x, f, f];[d];[n, w, w];[f];[x];[c];;[6.0, 10.0];[3.0, 5.0];;[d];[n, p];;;[f];[f];;[l, d];[u, a]
;Greasy Tough Shank;e;[4.0, 8.0];;[s];[n, b];[f];[x];[c];;[5.0, 9.0];[10.0, 0];;;[w];;;[f];[f];;[l];[a, w]
;Spotted Tough Shank;p;[6.0, 12.0];[x, f];;[n, w];[f];[x];[c];[w];[8.0, 12.0];[8.0, 15.0];[r];[i];;;;[f];[f];;[h, d];[u, a]
;Fairy Ring Champignon;e;[2.0, 5.0];[b];[d];[w];[f];[x];;;[3.0, 6.0];[2.0, 4.0];;;;;;[t];[f];;[g];[u, a]
;Little Wheel Fungus;p;[2.0, 4.0];[s];[g, y];[w];[f];[a];[d];;[1.0, 2.0];[0, 0];;;[n, e];;;[f];[f];;[l];[u, a]
;Horse-hair Fungus;p;[1.0, 3.0];[x, s];[g];[n, p, e];[f];[a, a];;[n, p];[5.0, 1.0];[0, 0];;[h, s];[n, k, k];;;[f];[f];;[h];[s, w]
;Bonnet Bell Cap;e;[2.0, 6.0];[b];[g, s];[n, w];[f];[a];;;[3.0, 8.0];[2.0, 5.0];;[s];;;;[f];[f];;[l];
;Stump Bell Cap;p;[1.0, 3.0];[b];[s];[n];[f];[a];;;[4.0, 6.0];[2.0, 0];;[s];[w];;;[f];[f];;;[u, a]
;Tufted Bell Cap;p;[2.0, 3.0];;;;[f];[a];;[n, p, e, w];[4.0, 10.0];[2.0, 3.0];;;[n, e, w, y];;;[f];[f];;;[u, a]
;Milky Bell Cap;e;[1.0, 2.0];[c];[g];[n];[f];[a];;[w];[4.0, 6.0];[1.0, 2.0];;;[w];;;[f];[f];;[l];[u, a]
;Small Bleeding Bell Cap;e;[4.0, 7.0];[c, f];;[n, e];[f];[a];;[n, p, e, w];[1.0, 0];[0, 0];;;[p, e];;;[f];[f];;[l, h, d];[u, a]
;Lilac Bell Cap;p;[2.0, 5.0];[b, f, s];;;[f];[a, d];[c];;[3.0, 8.0];[3.0, 8.0];;[s];[u];;;[f];[f];;[l, d];[u, a]
;Yellow-stemmed Bell Cap;e;[1.0, 2.0];[x];[g];[n, y];[f];[a, d];;[w];[4.0, 8.0];[1.0, 3.0];;[t];[y, y];;;[f];[f];;[g, h, d];[u, a]
;Orange Bell Cap;p;[1.0, 3.0];[x];[g];[y, o];[f];;;[y];[4.0, 1.0];[0, 0];;;[w];;;[f];[f];;;[u, a]
;Orange Moss Agaric;p;[1.0, 3.0];[x, f, s];;[o];[f];[d, d, d];;;[6.0, 1.0];[0, 0];;;[y, o];;;[f];[f];[w];[g];[u, a]
;Umbrella Navel Cap;p;[1.0, 2.0];[x, s];[g];[n, y];[f];[d];[d];;[1.0, 3.0];[2.0, 3.0];;[s];[n];;;[f];[f];;[d];[u, a]
;Rooting Shank;p;[4.0, 10.0];[x, f];[w, g];[n, e];[f];[x];;[w];[8.0, 20.0];[5.0, 10.0];;[g];;;;[f];[f];;[l, d];[u, a]
;Porcelain Mushroom;e;[4.0, 8.0];[x];[t, w, t];;[f];[a];;;[4.0, 8.0];[3.0, 7.0];;[t];[w];;;[t];[f];;;[u, w]
;Velvet Shank;e;[2.0, 7.0];[f];[w];[n, o, n];[f];[a];;[w, y];[3.0, 10.0];[3.0, 8.0];;;;;;[f];[f];;[l, d];[s, a]
;Honey Fungus;e;[5.0, 15.0];[x, f];;;[f];[a, d];[c];;[6.0, 12.0];[10.0, 20.0];;;;;;[t];[f];;[l];[u, w]
;Bulbous Honey Fungus;e;[5.0, 15.0];;[y];;[f];;;;[4.0, 10.0];[20.0, 30.0];;;;;;[t];[f];;[d];[a, w]
;Soap-scented Tricholoma;p;[3.0, 10.0];[x];[d, s];[n, p];[f];[s];;[r];[3.0, 8.0];[10.0, 20.0];;[i, y];[n, p];;;[f];[f];;;[u, a]
;Grey Tricholoma;e;[4.0, 8.0];[b, f];;;[f];[s];;[w];[3.0, 7.0];[10.0, 0];;[s];;;;[f];[f];;;[u, a]
;Scaly Tricholoma;e;[3.0, 7.0];[x, f];[i, y];[n];[f];[s];;[w, y];[3.0, 6.0];[5.0, 10.0];;;;;;[t];[f];;[l];[u, a]
;Yellow-brown Tricholoma;e;[5.0, 10.0];[f];[i];[n, o];[f];[s];;[n, y];[7.0, 11.0];[10.0, 15.0];;[i];[n];;;[f];[f];;;[a]
