secondary;original;rename_secondary;rename_original;empty_secondary;empty_original
class;class;;;;
cap-shape_b;cap-shape_b;;;;
cap-shape_c;cap-shape_c;;;;
cap-shape_f;cap-shape_f;;;;
cap-shape_o;;;;;cap-shape_o
cap-shape_p;;cap-shape_x;;;
cap-shape_s;cap-shape_s;;;;
cap-shape_x;cap-shape_x;;;;
;cap-shape_k;;cap-shape_x;;
cap-surface_d;;;;;cap-surface_d
cap-surface_e;;;;;cap-surface_e
cap-surface_f;cap-surface_f;;;;
cap-surface_g;cap-surface_g;;;;
cap-surface_h;;;;;cap-surface_h
cap-surface_k;;;;;cap-surface_k
cap-surface_l;;;;;cap-surface_l
cap-surface_s;cap-surface_s;;;;
cap-surface_t;;;;;cap-surface_t
cap-surface_w;;;;;cap-surface_w
cap-surface_y;cap-surface_y;;;;
cap-color_b;cap-color_b;;;;
cap-color_e;cap-color_e;;;;
cap-color_g;cap-color_g;;;;
cap-color_k;;;;;cap-color_k
cap-color_l;;;;;cap-color_l
cap-color_n;cap-color_n;;;;
cap-color_o;;;;;cap-color_o
cap-color_p;cap-color_p;;;;
cap-color_r;cap-color_r;;;;
cap-color_u;cap-color_u;;;;
cap-color_w;cap-color_w;;;;
cap-color_y;cap-color_y;;;;
;cap-color_c;;cap-color_n;;
does-bruise-or-bleed_f;does-bruise-or-bleed_f;;;;
does-bruise-or-bleed_t;does-bruise-or-bleed_t;;;;
gill-attachment_a;gill-attachment_a;;;;
gill-attachment_d;;;;;gill-attachment_d
gill-attachment_e;;;;;
gill-attachment_f;gill-attachment_f;;gill-attachment_e;;gill-attachment_f
gill-attachment_p;;;;;gill-attachment_p
gill-attachment_s;;gill-attachment_a;;;
gill-attachment_x;;gill-attachment_a;;;
gill-spacing_c;gill-spacing_c;;;;
gill-spacing_d;;;;;gill-spacing_d
gill-spacing_f;;;;;gill-spacing_f
;gill-spacing_w;;gill-spacing_c;;
gill-color_b;gill-color_b;;;;
gill-color_e;gill-color_e;;;;
gill-color_f;;;;;gill-color_f
gill-color_g;gill-color_g;;;;
gill-color_k;gill-color_k;;;;
gill-color_n;gill-color_n;;;;
gill-color_o;gill-color_o;;;;
gill-color_p;gill-color_p;;;;
gill-color_r;gill-color_r;;;;
gill-color_u;gill-color_u;;;;
gill-color_w;gill-color_w;;;;
gill-color_y;gill-color_y;;;;
;gill-color_h;;gill-color_n;;
stem-color_b;stem-color_b;;;;
stem-color_e;stem-color_e;;;;
stem-color_f;;;;;stem-color_f
stem-color_g;stem-color_g;;;;
stem-color_k;;;;;stem-color_k
stem-color_l;;;;;stem-color_l
stem-color_n;stem-color_n;;;;
stem-color_o;stem-color_o;;;;
stem-color_p;stem-color_p;;;;
stem-color_r;;;;;stem-color_r
stem-color_u;;;;;stem-color_u
stem-color_w;stem-color_w;;;;
stem-color_y;stem-color_y;;;;
;stem-color_c;;stem-color_n;;
has-ring_f;;;;;
has-ring_t;has-ring_t;;;;
;has-ring_n;;has-ring_f;;
;has-ring_o;;has-ring_t;;
ring-type_e;ring-type_e;;;;
ring-type_f;ring-type_f;;ring-type_r;;
ring-type_g;;;;;ring-type_g
ring-type_l;ring-type_l;;;;
ring-type_m;;;;;ring-type_m
ring-type_p;ring-type_p;;;;
ring-type_r;;;;;ring-type_r
ring-type_z;;;;;ring-type_z
;ring-type_n;;ring-type_f;;
habitat_d;habitat_d;;;;
habitat_g;habitat_g;;;;
habitat_h;;;;;habitat_h
habitat_l;habitat_l;;;;
habitat_m;habitat_m;;;;
habitat_p;habitat_p;;;;
habitat_u;habitat_u;;;;
habitat_w;habitat_w;;;;
